,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,latitude,longitude
267,30163,N,South Blvd (Linden-bound),South Boulevard,South Boulevard (Purple Line),40840,False,False,False,False,False,True,True,False,False,False,"(42.027612, -87.678329)",,26609,,,,42.027612,-87.678329
268,30070,N,Southport (Kimball-bound),Southport,Southport (Brown Line),40360,True,False,False,False,True,False,False,False,False,False,"(41.943744, -87.663619)",38.0,4449,57.0,729.0,25.0,41.943744,-87.663619
269,30071,S,Southport (Loop-bound),Southport,Southport (Brown Line),40360,True,False,False,False,True,False,False,False,False,False,"(41.943744, -87.663619)",38.0,4449,57.0,729.0,25.0,41.943744,-87.663619
270,30037,S,Sox-35th (95th-bound),Sox-35th,Sox-35th (Red Line),40190,True,True,False,False,False,False,False,False,False,False,"(41.831191, -87.630636)",26.0,21194,35.0,376.0,48.0,41.831191,-87.630636
271,30036,N,Sox-35th (Howard-bound),Sox-35th,Sox-35th (Red Line),40190,True,True,False,False,False,False,False,False,False,False,"(41.831191, -87.630636)",26.0,21194,35.0,376.0,48.0,41.831191,-87.630636
272,30050,E,State/Lake (Inner Loop),State/Lake,"State/Lake (Brown, Green, Orange, Pink & Purple Lines)",40260,False,False,False,True,False,False,True,False,True,True,"(41.88574, -87.627835)",22.0,14309,38.0,580.0,36.0,41.88574,-87.627835
273,30051,W,State/Lake (Outer Loop),State/Lake,"State/Lake (Brown, Green, Orange, Pink & Purple Lines)",40260,False,False,False,True,True,False,False,False,False,False,"(41.88574, -87.627835)",22.0,14309,38.0,580.0,36.0,41.88574,-87.627835
274,30170,S,Thorndale (95th-bound),Thorndale,Thorndale (Red Line),40880,False,True,False,False,False,False,False,False,False,False,"(41.990259, -87.659076)",40.0,4451,76.0,213.0,16.0,41.990259,-87.659076
275,30169,N,Thorndale (Howard-bound),Thorndale,Thorndale (Red Line),40880,False,True,False,False,False,False,False,False,False,False,"(41.990259, -87.659076)",40.0,4451,76.0,213.0,16.0,41.990259,-87.659076
276,30069,W,UIC-Halsted (Forest Pk-bound),UIC-Halsted,UIC-Halsted (Blue Line),40350,True,False,True,False,False,False,False,False,False,False,"(41.875474, -87.649707)",48.0,14917,29.0,97.0,26.0,41.875474,-87.649707
277,30068,E,UIC-Halsted (O'Hare-bound),UIC-Halsted,UIC-Halsted (Blue Line),40350,True,False,True,False,False,False,False,False,False,False,"(41.875474, -87.649707)",48.0,14917,29.0,97.0,26.0,41.875474,-87.649707
278,30073,S,Washington (Forest Pk-bound),Washington,Washington (Blue Line),40370,False,False,True,False,False,False,False,False,False,False,"(41.883164, -87.62944)",22.0,14310,38.0,92.0,36.0,41.883164,-87.62944
