,id,name,city,latitude,longitude,dpcapacity,online_date,date
332,171,May St & Cullerton St,Chicago ,41.855136,-87.654127,11,7/19/2013 11:05:15,2013-07-19 11:05:15
333,22,May St & Taylor St,Chicago,41.8694821,-87.6554864,15,6/22/2013 19:09:14,2013-06-22 19:09:14
334,142,McClurg Ct & Erie St,Chicago ,41.894503,-87.61785400000001,31,7/18/2013 22:58:19,2013-07-18 22:58:19
335,26,McClurg Ct & Illinois St,Chicago,41.891020000000005,-87.6173,31,6/22/2013 20:28:13,2013-06-22 20:28:13
336,62,McCormick Place,Chicago,41.8513751729,-87.61883464889999,27,6/25/2013 12:13:09,2013-06-25 12:13:09
337,168,Michigan Ave & 14th St,Chicago ,41.864059000000005,-87.623727,19,7/19/2013 10:08:36,2013-07-19 10:08:36
338,273,Michigan Ave & 18th St,Chicago,41.857813,-87.62455,23,9/10/2013 09:13:27,2013-09-10 09:13:27
340,45,Michigan Ave & Congress Pkwy,Chicago,41.876243,-87.624426,15,6/25/2013 11:01:27,2013-06-25 11:01:27
341,284,Michigan Ave & Jackson Blvd,Chicago,41.87785,-87.62408,23,9/12/2013 09:21:22,2013-09-12 09:21:22
342,52,Michigan Ave & Lake St,Chicago,41.886024,-87.624117,31,6/25/2013 11:25:55,2013-06-25 11:25:55
343,197,Michigan Ave & Madison St,Chicago,41.882134,-87.625125,19,8/8/2013 11:27:29,2013-08-08 11:27:29
344,85,Michigan Ave & Oak St,Chicago,41.90096039,-87.62377664,23,6/26/2013 19:18:12,2013-06-26 19:18:12
345,25,Michigan Ave & Pearson St,Chicago,41.897659999999995,-87.62351,23,6/22/2013 20:26:32,2013-06-22 20:26:32
346,43,Michigan Ave & Washington St,Chicago,41.8838927658,-87.6246491409,43,6/25/2013 10:57:46,2013-06-25 10:57:46
347,145,Mies van der Rohe Way & Chestnut St,Chicago,41.898586651399995,-87.6219152258,19,7/19/2013 09:20:47,2013-07-19 09:20:47
348,173,Mies van der Rohe Way & Chicago Ave,Chicago ,41.89691,-87.62174300000001,15,7/19/2013 11:07:06,2013-07-19 11:07:06
350,90,Millennium Park,Chicago,41.8810317,-87.62408432,35,6/26/2013 19:51:57,2013-06-26 19:51:57
352,84,Milwaukee Ave & Grand Ave,Chicago,41.891578,-87.648384,19,6/26/2013 19:14:29,2013-06-26 19:14:29
353,222,Milwaukee Ave & Rockwell St,Chicago,41.920195,-87.693033,19,8/16/2013 15:04:55,2013-08-16 15:04:55
